id,lang,label,HuggingFaceTB/SmolLM3-3B,microsoft/Phi-3.5-mini-instruct,tiiuae/Falcon3-3B-Instruct,Qwen/Qwen2.5-Omni-7B,google/gemma-3n-E4B-it,meta-llama/Llama-3.1-8B-Instruct,Qwen/Qwen2.5-7B-Instruct
en_1516,en,0,0,1,1,1,1,0,1
en_331,en,0,0,1,1,0,0,0,1
en_949,en,0,0,0,1,0,0,0,0
en_1194,en,0,0,0,1,0,0,0,0
en_1383,en,0,0,0,0,0,1,0,0
en_822,en,0,0,0,0,0,0,0,0
en_1300,en,0,0,0,1,0,0,0,0
en_1066,en,0,0,0,0,0,0,0,0
en_473,en,0,1,1,1,1,1,1,1
en_1678,en,0,0,0,0,0,0,0,0
en_109,en,1,0,1,1,0,0,0,0
en_234,en,0,1,1,1,1,1,0,0
en_1311,en,0,0,0,0,0,0,0,0
en_1730,en,0,0,0,0,0,0,0,0
en_689,en,0,0,0,0,0,0,0,0
en_1428,en,0,0,0,1,0,0,0,0
en_1659,en,0,0,0,0,0,0,0,0
en_329,en,1,1,1,1,1,1,1,1
en_461,en,0,0,0,0,0,0,0,0
en_1272,en,0,1,1,0,1,1,1,1
en_990,en,0,0,0,1,0,0,0,0
en_1409,en,0,0,0,1,0,0,0,0
en_736,en,0,0,0,0,0,1,0,0
en_101,en,0,0,0,0,0,0,0,0
en_978,en,0,0,0,0,0,0,0,0
en_1469,en,0,0,0,0,0,0,0,0
en_315,en,0,1,1,1,1,1,0,1
en_1621,en,0,0,1,1,1,1,0,1
en_1411,en,0,0,0,0,0,0,0,0
en_1631,en,0,0,0,0,0,0,0,0
en_883,en,0,0,0,0,0,0,0,0
en_338,en,0,0,0,1,0,1,0,0
en_1402,en,1,0,0,1,0,0,0,1
en_326,en,0,0,0,0,0,0,0,0
en_1526,en,0,0,0,0,0,1,0,0
en_1084,en,0,0,0,0,0,0,0,0
en_1077,en,0,0,0,0,0,0,0,0
en_615,en,0,0,0,0,0,0,0,0
en_864,en,0,0,0,0,0,0,0,0
en_139,en,0,0,1,1,1,1,0,1
en_1695,en,1,1,1,1,1,1,1,1
en_867,en,1,1,0,1,0,1,1,1
en_1790,en,0,0,0,1,0,0,0,0
en_220,en,0,0,0,1,0,0,0,0
en_846,en,0,0,0,1,0,0,0,0
en_1200,en,1,0,0,1,0,0,0,0
en_523,en,0,0,0,1,0,0,0,0
en_849,en,1,0,0,0,0,0,0,0
en_161,en,1,0,0,1,1,1,0,0
en_877,en,1,1,0,1,1,1,0,1
en_757,en,0,0,0,0,0,0,0,0
en_1443,en,0,0,1,1,0,0,0,0
en_1708,en,0,0,1,1,0,0,0,0
en_1883,en,0,0,0,1,0,0,0,0
en_834,en,0,0,0,1,0,0,0,0
en_1261,en,0,0,0,1,0,0,0,0
en_1243,en,0,0,0,0,0,0,0,0
en_1281,en,0,0,0,1,0,1,0,0
en_1056,en,0,0,1,0,0,0,0,1
en_1445,en,1,1,1,1,1,1,0,1
en_225,en,0,0,0,0,0,0,0,0
en_222,en,0,0,0,1,0,1,0,0
en_1649,en,0,0,0,0,0,0,0,0
en_414,en,0,1,1,1,1,1,1,1
en_1384,en,0,0,0,1,0,0,0,0
en_113,en,0,0,0,0,0,0,0,0
en_1142,en,0,1,1,1,1,1,0,1
en_472,en,0,0,0,0,0,0,0,0
en_219,en,0,0,0,0,0,0,0,0
en_1150,en,0,0,0,1,0,0,0,0
en_573,en,0,0,1,1,1,0,0,0
en_610,en,0,0,0,0,0,0,0,0
en_1507,en,0,0,0,0,0,0,0,0
en_284,en,0,0,1,1,0,1,0,0
en_459,en,0,1,0,1,0,0,0,1
en_178,en,0,0,0,0,0,0,0,0
en_670,en,0,0,0,1,0,0,0,0
en_720,en,0,0,0,0,0,0,0,0
en_1572,en,0,1,1,1,1,1,0,1
en_1296,en,0,0,0,1,0,0,0,0
en_1020,en,0,0,0,0,0,0,0,0
en_1024,en,0,0,0,0,0,0,0,0
en_753,en,0,1,0,1,0,0,0,0
en_840,en,0,0,0,1,0,0,0,0
en_553,en,0,0,0,0,0,0,0,0
en_756,en,0,1,0,1,1,0,0,0
en_1237,en,0,0,0,1,0,0,0,0
en_1161,en,0,0,0,1,0,0,0,0
en_1061,en,0,0,0,1,0,0,0,0
en_1768,en,0,0,0,1,0,0,0,0
en_1473,en,1,1,1,1,1,1,0,1
en_761,en,0,0,0,1,0,0,0,0
en_1819,en,0,0,0,0,0,0,0,0
en_809,en,0,0,0,1,1,1,0,0
en_1310,en,0,0,0,1,0,0,0,0
en_844,en,0,0,0,0,0,0,0,0
en_1816,en,0,0,1,1,1,1,0,1
en_1276,en,0,0,0,1,0,0,0,0
en_841,en,1,0,0,0,0,0,0,0
en_526,en,0,0,0,1,1,1,0,0
en_1700,en,0,0,0,1,0,0,0,0
en_343,en,0,0,0,0,0,0,0,0
en_957,en,0,0,0,0,0,0,0,0
en_1323,en,0,0,0,1,0,0,0,0
en_1472,en,0,0,0,0,0,1,0,0
en_1613,en,0,0,0,1,0,0,0,0
en_623,en,0,0,0,1,0,0,0,0
en_209,en,0,0,0,1,0,0,0,0
en_938,en,1,0,0,1,0,0,0,0
en_384,en,0,0,0,0,0,0,0,1
en_1461,en,0,0,0,0,0,1,0,1
en_1738,en,0,0,0,0,0,0,0,0
en_1642,en,0,0,0,1,0,0,0,0
en_365,en,0,1,1,1,1,1,1,1
en_360,en,0,0,0,1,0,0,0,0
en_372,en,0,0,0,0,0,0,0,0
en_1254,en,1,1,1,1,1,1,1,1
en_533,en,0,0,0,0,0,0,0,0
en_977,en,1,0,0,1,0,0,0,0
en_947,en,1,1,0,1,0,0,0,0
en_1444,en,0,0,0,0,0,0,0,0
en_1386,en,0,0,0,0,0,0,0,0
en_1191,en,0,0,0,0,0,0,0,0
en_1049,en,0,0,0,0,0,0,0,0
en_1494,en,0,0,0,0,0,0,0,0
en_155,en,0,0,0,1,1,0,0,0
en_405,en,0,0,0,0,0,0,0,0
en_146,en,0,0,0,1,0,1,0,0
en_898,en,0,0,0,0,0,0,0,0
en_1511,en,0,0,0,1,0,0,0,0
en_325,en,0,0,0,1,0,0,0,0
en_1079,en,0,0,0,1,0,0,0,0
en_1755,en,0,0,1,1,1,1,1,1
en_126,en,0,0,0,1,1,1,0,0
en_1124,en,0,0,0,1,0,0,0,0
en_1073,en,0,0,0,1,0,0,0,0
en_1579,en,0,0,1,1,0,0,1,0
en_479,en,0,1,0,1,0,1,0,0
en_498,en,0,1,1,1,1,1,1,1
en_310,en,0,0,0,1,0,0,0,0
en_394,en,0,0,0,1,0,0,0,0
en_274,en,0,0,0,1,0,0,0,0
en_1219,en,0,0,1,1,1,0,0,0
en_1075,en,0,0,0,1,0,1,0,0
en_1656,en,0,0,0,0,0,0,0,0
en_1729,en,0,0,0,0,0,0,0,0
en_1615,en,0,0,0,0,0,0,0,0
en_835,en,1,0,1,1,0,0,0,0
en_118,en,0,0,0,0,0,0,0,0
en_281,en,0,1,0,1,0,1,0,1
en_514,en,0,0,0,1,1,0,0,1
en_1706,en,0,0,0,1,0,0,0,0
en_309,en,0,0,0,0,0,0,0,0
en_1195,en,0,1,0,1,1,1,0,1
en_979,en,0,0,0,1,0,0,0,0
en_1468,en,0,0,0,1,0,1,0,0
en_278,en,0,0,0,0,1,0,0,1
en_1022,en,0,0,0,1,0,1,0,0
en_328,en,0,0,0,1,0,0,0,0
en_1608,en,0,0,0,0,0,0,0,0
en_928,en,0,0,0,1,0,0,0,0
en_1317,en,0,1,0,0,0,1,0,0
en_1277,en,0,0,0,0,0,0,0,0
en_1160,en,0,0,0,1,1,0,0,1
en_731,en,0,0,1,1,0,0,0,0
en_172,en,0,0,0,1,0,0,0,0
en_1795,en,0,0,0,0,0,0,0,0
en_1854,en,0,0,0,0,0,0,0,0
en_923,en,1,1,1,1,1,0,1,1
en_480,en,0,0,0,0,0,0,0,0
en_1126,en,0,1,0,1,0,1,1,1
en_159,en,1,0,0,1,0,0,0,0
en_781,en,0,0,0,0,0,1,0,0
en_996,en,1,0,1,0,0,1,0,1
en_1451,en,1,0,0,0,0,0,0,0
en_1856,en,0,0,0,0,0,0,0,0
en_491,en,0,0,0,0,0,0,0,0
en_694,en,0,0,0,0,0,0,0,0
en_324,en,0,0,0,0,0,0,0,0
en_900,en,0,0,0,1,0,0,0,0
en_1432,en,0,1,0,1,1,1,0,0
en_1462,en,0,0,0,1,0,0,0,0
en_1491,en,0,0,0,0,0,0,0,0
en_1374,en,0,1,1,1,0,0,0,1
en_1165,en,0,0,0,0,0,0,0,0
en_145,en,0,0,0,1,0,0,0,0
en_618,en,0,0,0,1,0,0,0,0
en_1082,en,0,0,0,0,0,0,0,0
en_137,en,0,0,0,0,0,0,0,0
en_290,en,0,0,0,1,0,1,0,0
en_1023,en,0,0,0,1,0,0,0,0
en_1202,en,0,1,1,0,0,0,1,1
en_345,en,0,0,1,1,1,1,0,0
en_1697,en,0,0,0,0,0,0,0,0
en_470,en,0,1,1,1,0,1,0,1
en_1825,en,0,0,0,0,0,0,0,0
en_177,en,0,0,0,1,1,0,0,1
en_711,en,0,0,0,0,0,0,0,0
en_477,en,0,0,0,1,0,0,0,0
en_428,en,0,0,0,1,1,0,0,0
en_988,en,0,0,0,1,0,0,0,0
en_548,en,0,1,1,1,1,0,0,0
en_1378,en,0,0,0,0,0,0,0,0
en_1823,en,0,0,0,0,0,0,0,1
en_231,en,0,0,0,0,1,0,0,0
en_1848,en,0,0,0,0,0,0,0,0
en_1307,en,0,1,0,1,0,0,0,0
en_1722,en,0,0,0,0,0,0,0,0
en_819,en,1,0,0,1,0,1,0,1
en_1622,en,0,0,0,1,0,0,0,0
en_458,en,0,0,0,1,1,0,0,0
en_1392,en,0,0,0,0,0,0,0,0
en_1295,en,0,0,0,0,0,0,0,0
en_1207,en,0,0,1,0,0,0,0,0
en_1843,en,0,0,0,1,0,0,0,0
en_1071,en,0,0,0,0,0,0,0,0
en_236,en,0,0,0,1,0,0,0,1
en_180,en,0,0,0,1,0,0,0,0
en_1693,en,0,0,0,1,0,0,0,0
en_950,en,0,0,0,0,0,0,0,0
en_954,en,0,0,0,1,0,1,0,0
en_1335,en,0,0,0,1,0,0,0,0
en_716,en,0,0,0,0,0,0,0,0
en_267,en,0,0,0,0,0,0,0,0
en_955,en,0,0,0,1,0,1,0,1
en_789,en,0,0,0,0,1,1,0,0
en_346,en,0,0,1,1,0,1,0,0
en_1137,en,0,1,0,1,1,0,0,1
en_397,en,0,0,0,1,0,0,0,0
en_1844,en,0,0,0,1,0,0,0,0
en_1247,en,0,0,0,1,1,0,0,0
en_435,en,0,0,0,1,0,0,0,0
en_1688,en,1,1,1,1,1,1,1,1
en_1181,en,0,1,0,1,1,1,1,1
en_1393,en,0,0,0,0,0,0,0,1
en_1870,en,0,0,0,1,0,0,0,0
en_1226,en,0,0,0,0,0,0,0,1
en_1500,en,0,1,0,1,0,1,0,0
en_334,en,0,0,0,0,0,0,0,0
en_682,en,0,0,0,0,0,0,0,0
en_223,en,0,0,0,1,0,0,0,0
en_673,en,0,0,0,1,0,0,0,0
en_917,en,0,0,0,1,1,0,1,1
en_1737,en,0,0,0,0,0,0,0,0
en_684,en,0,1,1,1,1,1,1,0
en_1088,en,0,0,0,0,0,0,0,0
en_1279,en,0,0,0,1,0,0,0,0
en_745,en,0,0,0,0,0,0,0,0
en_897,en,0,1,0,1,1,1,0,0
en_1726,en,0,0,0,0,1,0,0,1
en_508,en,0,0,0,1,0,0,0,0
en_899,en,0,0,0,1,0,0,0,0
en_651,en,0,0,0,1,0,0,0,0
en_904,en,0,0,0,1,0,0,0,0
en_799,en,0,0,0,0,0,0,0,0
en_1116,en,1,1,1,1,0,1,0,0
en_522,en,0,0,0,1,0,0,0,0
en_122,en,1,1,1,1,1,1,1,1
en_380,en,0,0,0,1,0,0,0,0
en_580,en,0,0,0,0,0,0,0,0
en_1004,en,0,1,1,1,1,1,1,1
en_749,en,0,1,0,1,0,1,0,0
en_134,en,0,0,0,0,0,0,0,0
en_103,en,0,0,0,1,1,1,1,1
en_677,en,0,1,0,1,0,0,0,1
en_1554,en,0,0,0,1,1,1,0,1
en_445,en,0,0,0,1,0,0,0,0
en_604,en,0,1,1,1,1,1,1,1
en_1423,en,0,0,0,0,0,0,0,0
en_717,en,0,0,0,1,0,0,0,0
en_1327,en,0,0,0,1,0,0,0,0
en_1232,en,0,0,0,0,0,0,0,0
en_303,en,0,0,0,1,0,0,0,0
en_640,en,0,0,0,0,0,0,0,0
en_613,en,0,1,0,1,0,0,0,0
en_1868,en,0,0,0,0,0,0,0,0
en_1139,en,0,1,0,1,0,1,1,0
en_708,en,0,0,0,1,0,1,0,0
en_389,en,0,0,0,0,0,0,0,0
en_622,en,0,0,0,1,0,1,0,0
en_1283,en,0,0,0,0,0,0,0,0
en_965,en,0,0,0,0,0,0,0,0
en_184,en,1,1,1,1,0,0,1,0
en_852,en,0,0,0,0,0,0,0,0
en_1530,en,0,0,0,1,0,0,0,0
en_1236,en,1,0,0,0,0,0,0,0
en_261,en,0,1,1,1,1,0,1,0
en_1575,en,0,1,1,1,0,0,1,1
en_1892,en,0,1,1,1,1,1,1,1
en_631,en,0,1,0,1,0,1,1,0
en_653,en,0,1,1,1,0,1,1,1
en_1657,en,0,0,0,0,0,0,0,0
en_1356,en,0,0,0,1,0,1,0,0
en_1869,en,0,0,0,1,1,1,0,0
en_536,en,0,1,0,1,0,1,0,0
en_226,en,0,0,0,1,0,0,0,0
en_1274,en,0,1,1,0,0,1,0,1
en_843,en,0,0,0,0,0,0,0,1
en_1885,en,0,0,0,0,0,0,0,0
en_768,en,0,0,0,0,0,0,0,0
en_475,en,0,0,0,0,0,0,0,0
en_1459,en,0,0,0,1,0,0,0,1
en_186,en,0,0,0,0,0,0,0,0
en_1222,en,0,0,0,1,0,0,0,0
en_1132,en,0,0,0,0,0,0,0,0
en_1731,en,0,0,0,0,0,0,0,0
en_385,en,0,0,0,1,0,0,1,1
en_1636,en,0,0,0,1,0,0,0,0
en_1282,en,0,0,0,0,1,1,0,0
en_1251,en,0,0,0,0,0,0,0,1
en_1534,en,0,0,0,1,0,0,0,0
en_1047,en,0,0,0,0,0,0,0,0
en_578,en,0,0,0,1,0,0,0,0
en_1862,en,0,0,0,0,0,0,0,0
en_1339,en,0,1,0,1,0,1,0,0
en_1774,en,0,1,1,1,1,1,1,1
en_214,en,0,0,0,0,0,0,0,0
en_986,en,0,0,0,1,0,0,0,0
en_1140,en,0,0,0,1,0,1,0,0
en_557,en,0,0,0,1,0,0,0,0
en_465,en,0,0,0,1,0,0,0,0
en_376,en,0,0,0,0,0,0,0,0
en_269,en,0,0,0,1,1,1,1,0
en_1359,en,0,0,1,0,1,0,1,1
en_190,en,0,0,0,1,0,0,0,0
en_1440,en,0,0,0,1,0,0,0,0
en_987,en,0,0,0,1,0,0,0,0
en_626,en,0,0,0,0,0,0,0,0
en_910,en,0,0,0,1,0,0,0,0
en_117,en,0,0,0,1,0,1,0,1
en_253,en,0,0,0,0,0,0,0,0
en_227,en,0,1,1,1,0,0,0,0
en_104,en,0,0,0,0,0,0,0,0
en_1404,en,0,0,0,0,0,0,0,0
en_1203,en,1,0,0,0,1,0,0,0
en_1349,en,0,0,0,0,0,0,0,0
en_791,en,0,0,0,1,0,0,0,0
en_1406,en,0,1,1,1,1,1,0,0
en_357,en,0,0,0,1,1,1,0,1
en_1525,en,0,0,0,1,1,1,0,1
en_1394,en,0,0,0,0,0,0,0,0
en_1748,en,0,0,0,0,0,0,0,0
en_671,en,0,0,0,1,1,1,0,0
en_437,en,1,0,0,1,0,0,0,0
en_1362,en,0,1,1,1,1,1,0,0
en_210,en,0,0,1,1,1,1,0,0
en_1570,en,0,0,0,0,0,0,0,0
en_1054,en,0,0,0,0,0,0,0,0
en_154,en,0,1,1,1,1,1,1,1
en_1014,en,0,0,0,1,0,0,0,0
en_635,en,0,0,0,0,0,0,0,0
en_1547,en,0,0,0,0,0,0,0,0
en_929,en,1,0,0,1,0,0,0,1
en_936,en,0,0,0,1,1,0,0,1
en_1341,en,0,0,1,1,0,1,0,0
en_1601,en,0,0,0,0,0,0,0,0
en_591,en,0,0,0,1,0,0,1,0
en_1193,en,0,0,0,0,0,0,0,0
en_919,en,0,0,0,0,0,0,0,0
en_946,en,1,0,0,0,0,0,0,0
en_537,en,0,1,1,1,1,1,1,1
en_1709,en,0,0,0,1,0,0,0,0
en_726,en,1,1,1,1,0,1,1,1
en_108,en,0,0,0,1,0,0,0,0
en_1206,en,0,1,0,1,1,1,0,1
en_1456,en,0,0,0,0,0,0,0,0
en_1705,en,0,0,0,1,0,0,0,0
en_515,en,0,0,0,0,0,0,0,0
en_293,en,0,0,1,0,0,0,0,0
en_773,en,0,1,0,1,0,0,1,1
en_1136,en,0,0,0,1,0,0,0,0
en_1583,en,0,1,1,1,1,1,1,1
en_539,en,0,0,0,1,0,0,0,0
en_176,en,0,0,0,1,0,0,0,0
en_387,en,0,0,0,0,0,0,0,0
en_1617,en,0,0,0,0,0,0,0,0
en_123,en,1,1,1,1,1,1,1,1
en_1594,en,0,1,1,1,1,1,1,1
en_425,en,0,0,0,0,0,0,0,0
en_466,en,0,0,0,1,0,0,0,0
en_494,en,0,0,0,1,0,0,0,0
en_224,en,0,1,1,0,1,0,0,1
en_1121,en,0,0,0,0,1,0,0,0
en_200,en,0,0,0,0,0,0,0,0
en_1032,en,0,0,0,1,0,1,0,0
en_1718,en,0,0,1,1,1,0,1,1
en_1852,en,0,0,0,1,1,1,0,0
en_1098,en,0,0,0,0,0,0,0,0
en_1204,en,0,0,0,0,0,0,0,0
en_1269,en,0,0,0,1,0,0,0,0
en_1698,en,0,0,0,1,0,0,0,0
en_1401,en,0,0,0,0,1,0,1,0
en_202,en,0,0,0,1,0,0,0,0
en_853,en,0,0,0,0,0,0,0,0
en_138,en,0,0,0,0,0,0,0,0
en_1199,en,0,1,0,1,0,1,0,0
en_1780,en,0,0,0,1,1,0,0,0
en_921,en,0,0,0,1,0,0,0,1
en_409,en,0,0,0,1,1,0,0,0
en_1493,en,0,0,0,1,0,0,0,0
en_1006,en,0,0,1,1,0,1,0,0
en_855,en,1,1,0,1,0,1,0,1
en_426,en,0,1,1,1,1,1,1,1
en_926,en,1,0,1,1,1,1,0,0
en_1528,en,0,1,1,0,0,1,0,1
en_650,en,0,0,0,1,0,0,0,0
en_243,en,0,0,0,0,0,0,0,0
en_633,en,0,0,1,1,0,0,0,1
en_375,en,0,0,0,1,0,0,0,0
en_1107,en,0,1,0,1,0,1,0,0
en_1130,en,0,0,0,0,0,0,0,0
en_410,en,0,0,0,0,0,0,0,0
en_440,en,0,0,0,1,0,0,0,0
en_997,en,0,1,0,0,1,1,1,1
en_1817,en,0,0,0,0,0,0,0,0
en_1095,en,0,0,0,1,0,0,0,0
en_351,en,0,0,0,0,0,0,0,0
en_424,en,0,0,0,0,0,1,0,0
en_1894,en,0,0,0,1,0,0,0,0
en_1518,en,0,0,0,0,0,0,0,0
en_1723,en,0,0,0,0,0,0,0,0
en_1687,en,0,0,0,1,0,0,0,0
en_476,en,0,0,0,1,0,0,0,1
en_1467,en,0,0,0,0,0,1,0,0
en_1566,en,0,1,1,1,1,1,1,1
en_1618,en,0,0,0,1,0,0,0,0
en_892,en,0,0,0,1,0,0,0,0
en_1762,en,0,0,0,1,1,0,0,0
en_1436,en,0,0,0,0,0,0,0,0
en_838,en,0,0,0,0,0,0,0,0
en_658,en,0,0,1,1,0,0,0,0
en_1211,en,1,1,1,1,1,1,0,1
en_1813,en,1,1,1,1,1,1,1,1
en_1416,en,0,0,0,0,0,0,0,0
en_628,en,0,0,0,0,0,1,0,0
en_811,en,1,1,1,1,1,1,0,1
en_1531,en,0,0,0,0,0,0,0,0
en_1264,en,0,0,0,0,0,0,0,0
en_1846,en,0,0,0,1,0,0,0,0
en_561,en,0,0,0,0,0,0,0,0
